Route,Methods,File,Auth markers,Service imports,Contract imports
/api/auth/[...all],,src/app/api/auth/[...all]/route.ts,handler/service policy,,
/api/v1/analytics/dashboard,GET,src/app/api/v1/analytics/dashboard/route.ts,requireSession,@/server/services/analytics-service,
/api/v1/appointments,GET | POST,src/app/api/v1/appointments/route.ts,requireSession,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/appointments/[id]/assign,POST,src/app/api/v1/appointments/[id]/assign/route.ts,requireSession,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/appointments/[id]/reschedule,POST,src/app/api/v1/appointments/[id]/reschedule/route.ts,requireSession,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/appointments/[id]/status,PATCH,src/app/api/v1/appointments/[id]/status/route.ts,requireSession,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/appointments/book,POST,src/app/api/v1/appointments/book/route.ts,requireSession,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/appointments/slots,GET,src/app/api/v1/appointments/slots/route.ts,handler/service policy,@/server/services/crm-service,@/shared/contracts/crm
/api/v1/audit-events,GET,src/app/api/v1/audit-events/route.ts,requireSession,@/server/services/identity-service,@/shared/contracts/identity
/api/v1/auth/session,GET | POST | DELETE,src/app/api/v1/auth/session/route.ts,requireSession,,
/api/v1/cases,GET | POST,src/app/api/v1/cases/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/cases/[id],GET | PATCH,src/app/api/v1/cases/[id]/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/cases/[id]/conflict-decision,POST,src/app/api/v1/cases/[id]/conflict-decision/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/clients,GET | POST,src/app/api/v1/clients/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/clients/[id],GET | PATCH,src/app/api/v1/clients/[id]/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/clients/[id]/kyc-files,GET,src/app/api/v1/clients/[id]/kyc-files/route.ts,requireSession,@/server/services/kyc-service,@/shared/contracts/matters
/api/v1/clients/[id]/kyc-review,POST,src/app/api/v1/clients/[id]/kyc-review/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/clients/[id]/portal-access,POST,src/app/api/v1/clients/[id]/portal-access/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/clients/me,GET | PATCH,src/app/api/v1/clients/me/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/matters
/api/v1/clients/me/kyc-submissions,POST,src/app/api/v1/clients/me/kyc-submissions/route.ts,requireSession,@/server/services/kyc-service,@/shared/contracts/matters
/api/v1/clients/me/kyc-upload-intents,POST,src/app/api/v1/clients/me/kyc-upload-intents/route.ts,requireSession,@/server/services/kyc-service,@/shared/contracts/matters
/api/v1/clients/me/kyc-upload-intents/[intentId],GET,src/app/api/v1/clients/me/kyc-upload-intents/[intentId]/route.ts,requireSession,@/server/services/kyc-service,@/shared/contracts/matters
/api/v1/clients/me/kyc-upload-intents/[intentId]/complete,POST,src/app/api/v1/clients/me/kyc-upload-intents/[intentId]/complete/route.ts,requireSession,@/server/services/kyc-service,@/shared/contracts/matters
/api/v1/clients/me/team,GET,src/app/api/v1/clients/me/team/route.ts,requireSession,@/server/services/matters-service,
/api/v1/cms/[collection],GET | POST,src/app/api/v1/cms/[collection]/route.ts,requireSession,@/server/services/cms-service,
/api/v1/cms/[collection]/[id],PATCH | DELETE,src/app/api/v1/cms/[collection]/[id]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/applications,GET,src/app/api/v1/cms/applications/route.ts,requireSession,@/server/services/cms-service,
/api/v1/cms/applications/[id],PATCH,src/app/api/v1/cms/applications/[id]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/asset-upload-intents,POST,src/app/api/v1/cms/asset-upload-intents/route.ts,requireSession,@/server/services/cms-asset-service,
/api/v1/cms/asset-upload-intents/[intentId],GET,src/app/api/v1/cms/asset-upload-intents/[intentId]/route.ts,requireSession,@/server/services/cms-asset-service,
/api/v1/cms/asset-upload-intents/[intentId]/complete,POST,src/app/api/v1/cms/asset-upload-intents/[intentId]/complete/route.ts,requireSession,@/server/services/cms-asset-service,
/api/v1/cms/blog-posts/[id]/review,POST,src/app/api/v1/cms/blog-posts/[id]/review/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/legal-pages/[slug],GET | PUT,src/app/api/v1/cms/legal-pages/[slug]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/navigation/reorder,POST,src/app/api/v1/cms/navigation/reorder/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/news/[id]/review,POST,src/app/api/v1/cms/news/[id]/review/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/newsletter,GET,src/app/api/v1/cms/newsletter/route.ts,requireSession,@/server/services/cms-service,
/api/v1/cms/newsletter/[id],PATCH,src/app/api/v1/cms/newsletter/[id]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/settings,GET | PUT,src/app/api/v1/cms/settings/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/cms/team,GET,src/app/api/v1/cms/team/route.ts,requireSession,@/server/services/cms-service,
/api/v1/cms/team/[id],PATCH,src/app/api/v1/cms/team/[id]/route.ts,requireSession,@/server/services/cms-service,@/shared/contracts/cms
/api/v1/communications/email,POST,src/app/api/v1/communications/email/route.ts,requireSession,@/server/services/communication-service,@/shared/contracts/communication
/api/v1/conflict-checks,GET,src/app/api/v1/conflict-checks/route.ts,requireSession,@/server/services/matters-service,
/api/v1/conflict-checks/[id],PATCH,src/app/api/v1/conflict-checks/[id]/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/conflicts | @/shared/contracts/matters
/api/v1/conflict-checks/preview,POST,src/app/api/v1/conflict-checks/preview/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/conflicts
/api/v1/conflict-checks/search,POST,src/app/api/v1/conflict-checks/search/route.ts,requireSession,@/server/services/matters-service,@/shared/contracts/conflicts
/api/v1/dm/threads,GET | POST,src/app/api/v1/dm/threads/route.ts,requireSession,@/server/services/dm-service,@/shared/contracts/dm
/api/v1/dm/threads/[threadId]/messages,GET | POST,src/app/api/v1/dm/threads/[threadId]/messages/route.ts,requireSession,@/server/services/dm-service,@/shared/contracts/communication | @/shared/contracts/dm
/api/v1/dm/threads/[threadId]/read,POST,src/app/api/v1/dm/threads/[threadId]/read/route.ts,requireSession,@/server/services/dm-service,@/shared/contracts/communication
/api/v1/document-tags,GET | POST,src/app/api/v1/document-tags/route.ts,requireSession,@/server/services/document-template-service,
/api/v1/document-tags/[id],DELETE,src/app/api/v1/document-tags/[id]/route.ts,requireSession,@/server/services/document-template-service,
/api/v1/document-templates,GET | POST,src/app/api/v1/document-templates/route.ts,requireSession,@/server/services/document-template-service,
/api/v1/document-templates/[id],PUT | DELETE,src/app/api/v1/document-templates/[id]/route.ts,requireSession,@/server/services/document-template-service,
/api/v1/document-templates/seed,POST,src/app/api/v1/document-templates/seed/route.ts,requireSession,@/server/services/document-template-service,
/api/v1/document-upload-intents,POST,src/app/api/v1/document-upload-intents/route.ts,requireSession,,
/api/v1/document-upload-intents/[intentId]/complete,POST,src/app/api/v1/document-upload-intents/[intentId]/complete/route.ts,requireSession,,
/api/v1/documents,GET,src/app/api/v1/documents/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/[id],GET | PATCH | DELETE,src/app/api/v1/documents/[id]/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/[id]/download,GET,src/app/api/v1/documents/[id]/download/route.ts,requireSession,,
/api/v1/documents/[id]/extract-text,POST,src/app/api/v1/documents/[id]/extract-text/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/[id]/restore,POST,src/app/api/v1/documents/[id]/restore/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/[id]/share,GET | POST | DELETE,src/app/api/v1/documents/[id]/share/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/[id]/trash,POST,src/app/api/v1/documents/[id]/trash/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
/api/v1/documents/[id]/versions,GET,src/app/api/v1/documents/[id]/versions/route.ts,requireSession,@/server/services/document-service,@/shared/contracts/documents
