domain,environment,rehearsalId,startedAt,finishedAt,backupOk,writeFreezeOk,deltaImportOk,reconcileOk,flagNextOk,rollbackPracticeOk,localSoak,result,notes
cms,localhost,r6-2026-08-05T19-39-44-595Z,2026-08-05T19:39:44.596Z,2026-08-05T19:39:53.840Z,true,true,true,true,true,true,1 day of normal local use,passed,export=tests/fixtures/convex-cms-export | flags=VITE_BACKEND_CMS=next | convex=read-only-via-flag-next | localSoak=1 day of normal local use | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_CMS=convex
identity,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:40:05.116Z,2026-08-05T19:40:14.463Z,true,true,true,true,true,true,covered by every domain rehearsal,passed,export=tests/fixtures/convex-identity-export | flags=VITE_BACKEND_IDENTITY=next | convex=read-only-via-flag-next | localSoak=covered by every domain rehearsal | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_IDENTITY=convex
cms,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:40:14.465Z,2026-08-05T19:40:23.386Z,true,true,true,true,true,true,1 day of normal local use,passed,export=tests/fixtures/convex-cms-export | flags=VITE_BACKEND_CMS=next | convex=read-only-via-flag-next | localSoak=1 day of normal local use | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_CMS=convex
matters,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:40:23.387Z,2026-08-05T19:40:32.795Z,true,true,true,true,true,true,2–3 days,passed,"export=tests/fixtures/convex-matters-export | flags=VITE_BACKEND_CASES=next,VITE_BACKEND_CLIENTS=next | convex=read-only-via-flag-next | localSoak=2–3 days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_CASES=convex | rollbackFlag=VITE_BACKEND_CLIENTS=convex"
work-management,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:40:32.796Z,2026-08-05T19:40:42.135Z,true,true,true,true,true,true,1–2 days,passed,"export=tests/fixtures/convex-work-management-export | flags=VITE_BACKEND_TASKS=next,VITE_BACKEND_HEARINGS=next,VITE_BACKEND_APPOINTMENTS=next,VITE_BACKEND_RESEARCH=next | convex=read-only-via-flag-next | localSoak=1–2 days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_TASKS=convex | rollbackFlag=VITE_BACKEND_HEARINGS=convex | rollbackFlag=VITE_BACKEND_APPOINTMENTS=convex | rollbackFlag=VITE_BACKEND_RESEARCH=convex"
financial,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:40:42.136Z,2026-08-05T19:40:51.771Z,true,true,true,true,true,true,3+ days,passed,export=tests/fixtures/convex-financial-export | flags=VITE_BACKEND_FINANCE=next | convex=read-only-via-flag-next | localSoak=3+ days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_FINANCE=convex
crm,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:40:51.772Z,2026-08-05T19:41:01.323Z,true,true,true,true,true,true,1–2 days,passed,export=tests/fixtures/convex-crm-export | flags=VITE_BACKEND_LEADS=next | convex=read-only-via-flag-next | localSoak=1–2 days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_LEADS=convex
communication,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:41:01.324Z,2026-08-05T19:41:10.165Z,true,true,true,true,true,true,1–2 days,passed,"export=tests/fixtures/convex-communication-export | flags=VITE_BACKEND_MESSAGES=next,VITE_BACKEND_NOTIFICATIONS=next | convex=read-only-via-flag-next | localSoak=1–2 days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_MESSAGES=convex | rollbackFlag=VITE_BACKEND_NOTIFICATIONS=convex"
documents,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:41:10.166Z,2026-08-05T19:41:19.654Z,true,true,true,true,true,true,2–3 days,passed,export=tests/fixtures/convex-export | flags=VITE_BACKEND_DOCUMENTS=next | convex=read-only-via-flag-next | localSoak=2–3 days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_DOCUMENTS=convex
envelopes,localhost,r6-2026-08-05T19-40-05-115Z,2026-08-05T19:41:19.655Z,2026-08-05T19:41:29.134Z,true,true,true,true,true,true,3+ days,passed,export=tests/fixtures/convex-envelopes-export | flags=VITE_BACKEND_ENVELOPES=next | convex=read-only-via-flag-next | localSoak=3+ days | soak=accepted_local_shortened | rollback-cli=dry-run-ok | rollbackFlag=VITE_BACKEND_ENVELOPES=convex
