domain,table,id,type,reason,sourceValue,targetValue,recordedAt
"documents","documents","","OTHER","Row count mismatch source=1 target=0","""""","""""","2026-08-04T19:18:23.730Z"
"documents","documents","convex-document-a","OTHER","Failed query: insert into ""documents"" (""id"", ""legacy_convex_id"", ""firm_id"", ""case_id"", ""document_number"", ""title"", ""description"", ""type"", ""storage_id"", ""mime_type"", ""size_bytes"", ""sha256"", ""version"", ""parent_document_id"", ""uploaded_by"", ""is_template"", ""is_privileged"", ""searchable_text"", ""thumbnail_storage_id"", ""status"", ""is_locked_for_edit"", ""locked_by"", ""locked_at"", ""physical_location"", ""expires_at"", ""retention_policy"", ""date_bs"", ""is_on_legal_hold"", ""legal_hold_reason"", ""legal_hold_set_at"", ""legal_hold_set_by"", ""retention_until"", ""upload_status"", ""scan_provider"", ""scan_completed_at"", ""scan_details"", ""confidentiality_level"", ""requires_signature"", ""signature_status"", ""signed_at"", ""intended_signer_user_id"", ""signed_by_user_id"", ""signature_method"", ""signature_artifact_storage_id"", ""typed_signature_text"", ""sign_consent_version"", ""sign_consent_at"", ""viewed_at"", ""signer_user_agent"", ""deleted_by"", ""created_at"", ""updated_at"", ""deleted_at"") values (default, $1, $2, $3, $4, $5, $6, $7, $8, $9, $10, default, default, default, $11, $12, $13, default, default, $14, default, default, default, default, default, default, default, $15, $16, default, default, default, default, default, default, default, $17, default, default, default, default, default, default, default, default, default, default, default, default, default, $18, $19, $20)
params: convex-document-a,61000000-0000-4000-8000-000000000001,,DOC-1785871333304-974,Fixture document,,other,convex-storage-document,application/pdf,12,8e3e8b7d-51d4-4e93-b543-0f0fde788bae,false,false,active,false,,internal,2026-08-02T00:00:00.000Z,2026-08-02T00:00:00.000Z,","""""","""""","2026-08-04T19:22:13.316Z"
"documents","documents","","OTHER","Row count mismatch source=1 target=0","""""","""""","2026-08-04T19:22:13.316Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:34:07.797Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:34:09.238Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:34:09.238Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:34:10.717Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:34:10.717Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:09.507Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:35:10.870Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:10.870Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:29.387Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:35:30.885Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:30.885Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:35:32.485Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:32.485Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:36.865Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:35:38.244Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:38.244Z"
"hr","leaveRequests","","ROW_COUNT_MISMATCH","Source and target row counts do not match","1","0","2026-08-04T19:35:39.879Z"
"hr","leaveRequests","convex_hr_leave_bad_unmapped_user","OTHER","Unknown userId","""""","""""","2026-08-04T19:35:39.879Z"
