Domain,Convex module,Queries,Mutations,Actions,Internal functions,Tables accessed,Frontend consumer files,Storage operations,Async operations,Decision,Status,Owner
reporting,analytics,1,0,0,0,cases | clients | expenses | invoices | leads | timeEntries | users,,,,migrate,inventoried,TBD
appointments,appointments,3,5,0,0,appointments | auditLog | notifications,,,,migrate,inventoried,TBD
administration,auditLog,2,1,0,0,auditLog,,,,migrate,inventoried,TBD
matters,cases,4,3,0,0,cases | clients,,,,migrate,inventoried,TBD
crm,chatbots,0,1,0,0,leads,,,,migrate,inventoried,TBD
matters,clients,4,4,0,0,auditLog | clients,,getUrl,,migrate,inventoried,TBD
website,cms,13,28,0,0,blogPosts | careers | cmsSettings | jobApplications | leads | legalPages | navigation | newsAndAwards | newsletterSubscribers | practiceAreas | resources | testimonials | users,,,,migrate,inventoried,TBD
communications,communications,1,3,0,0,auditLog | firmSettings | notifications,,,,migrate,inventoried,TBD
matters,conflictChecks,1,2,0,0,conflictChecks | users,,,,migrate,inventoried,TBD
court,court,1,0,0,0,,,,,migrate,inventoried,TBD
documents,documentSecurity,0,0,0,4,auditLog,,getUrl,runMutation | runQuery,migrate,inventoried,TBD
documents,documents,8,17,0,0,auditLog | cases | clients | documentShares | documentTags | documentUploadRateLimits | documents | firms | signatureEnvelopes | signatureRecipients | signingChallenges | users,,generateUploadUrl | getUrl,runAfter,migrate,inventoried,TBD
signatures,envelopes,4,7,0,0,auditLog | signatureEnvelopes | signatureRecipients | signingChallenges | users,,,,migrate,inventoried,TBD
expenses,expenses,2,3,0,0,expenses,,,,migrate,inventoried,TBD
court,hearings,1,2,0,0,hearings,,,,migrate,inventoried,TBD
hr,hr,3,4,0,0,attendance | leaveRequests | users,,,,migrate,inventoried,TBD
invoices,invoices,4,7,0,0,invoiceLineItems | invoices | notifications | payments | timeEntries | trustTransactions,,,,migrate,inventoried,TBD
crm,leads,2,5,0,0,clients | leads,,,,migrate,inventoried,TBD
communications,messages,1,2,0,0,messages | notifications | users,,,,migrate,inventoried,TBD
communications,notifications,1,3,0,0,notifications | users,,,,migrate,inventoried,TBD
knowledge,research,1,3,0,0,researchNotes,,,,migrate,inventoried,TBD
administration,seed,0,1,0,0,cmsSettings | firms | legalPages | navigation | practiceAreas | sopTemplates,,,,migrate,inventoried,TBD
administration,settings,1,1,0,0,firmSettings,,,,migrate,inventoried,TBD
documents,tags,1,2,0,0,documentTags,,,,migrate,inventoried,TBD
work-management,tasks,4,9,0,1,cases | clients | sopTemplates | taskComments | tasks,,,,migrate,inventoried,TBD
knowledge,templates,2,4,0,0,templates,,,,migrate,inventoried,TBD
timeEntries,timeEntries,1,2,0,0,timeEntries,,,,migrate,inventoried,TBD
identity,users,8,22,0,0,auditLog | cases | firmSettings | firms | sessions | users,,generateUploadUrl | getUrl,,migrate,inventoried,TBD
