"Domain","Convex module","Convex export","Kind","Source","Frontend callers","Tables","Indexes","Authorization","Tenant scope","Side effects","Decision","Next service","Next endpoint/action","Request contract","Response contract","Migration script","Tests","Status","Owner","Cutover","Rollback"
"reporting","analytics","getDashboardData","query","convex/analytics.ts:4","src/pages/admin/AdminAnalyticsPage.tsx:16 (useQuery)","cases | clients | expenses | invoices | leads | timeEntries | users","","requireRole; roles=admin|partner","no explicit tenant scope detected","","migrate","AnalyticsService","/api/v1/analytics/dashboard","{}","observed return expressions: { totalRevenue, realizationRate, avgCaseValue, totalCases, totalClients: clients.filter((c) => c.isActive).length, outstanding, totalExpenses, openLeads: leads.filter((l) => l.status === ""new"" || l.status === ""contacted"").length, revenueByPractice, hoursByAssociate, monthlyRevenue, casesByStatus, kpis: { activeCases: cases.filter((c) => c.status === ""active"").length, totalClients: clients.filter((c) => c.isActive).length, revenue: totalRevenue, outstanding, totalExpenses, }, }","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","assignLawyerToAppointment","mutation","convex/appointments.ts:112","src/pages/admin/AdminAppointmentsPage.tsx:22 (useMutation)","","","requireRole; roles=admin","no explicit tenant scope detected","database patch","migrate","CrmService","/api/v1/appointments/*","{ id: v.id(""appointments""), assignedLawyerId: v.id(""users""), }","observed return expressions: { success: true }","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","bookConsultation","mutation","convex/appointments.ts:149","src/pages/client/ClientBookingPage.tsx:34 (useMutation)","appointments","","requireAuth","no explicit tenant scope detected","inserts: appointments","migrate","CrmService","/api/v1/appointments/*","{ clientName: v.string(), clientEmail: v.optional(v.string()), clientPhone: v.string(), clientId: v.optional(v.id(""clients"")), practiceArea: v.string(), date: v.string(), timeSlot: v.string(), notes: v.optional(v.string()), assignedLawyerId: v.optional(v.id(""users"")), }","observed return expressions: ctx.db.insert(""appointments"", { ...args, status: ""pending"", })","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","createAppointment","mutation","convex/appointments.ts:31","src/pages/admin/AdminAppointmentsPage.tsx:20 (useMutation) | src/pages/public/ConsultationPage.tsx:89 (useMutation)","appointments","","no explicit auth helper detected","no explicit tenant scope detected","communication | inserts: appointments","migrate","CrmService","/api/v1/appointments/*","{ clientName: v.string(), clientEmail: v.optional(v.union(v.string(), v.literal(""""))), clientPhone: v.string(), practiceArea: v.string(), date: v.string(), timeSlot: v.string(), notes: v.optional(v.string()), assignedLawyerId: v.optional(v.id(""users"")), }","observed return expressions: appointmentId","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","listAppointments","query","convex/appointments.ts:5","src/pages/admin/AdminAppointmentsPage.tsx:15 (useQuery) | src/pages/staff/StaffAppointmentsPage.tsx:13 (useQuery)","appointments","by_assigned_lawyer | by_status","no explicit auth helper detected","no explicit tenant scope detected","","migrate","CrmService","/api/v1/appointments/*","{ status: v.optional(v.string()), assignedLawyerId: v.optional(v.id(""users"")), }","observed return expressions: appointments.sort((a, b) => new Date(a.date).getTime() - new Date(b.date).getTime())","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","listAvailableSlots","query","convex/appointments.ts:180","src/pages/client/ClientBookingPage.tsx:29 (useQuery)","appointments","by_date","no explicit auth helper detected","no explicit tenant scope detected","","migrate","CrmService","/api/v1/appointments/*","{ date: v.string(), assignedLawyerId: v.optional(v.id(""users"")), }","observed return expressions: base.filter((s) => !taken.has(s))","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","listClientAppointments","query","convex/appointments.ts:170","src/pages/client/ClientBookingPage.tsx:36 (useQuery)","appointments","","requireAuth","no explicit tenant scope detected","","migrate","CrmService","/api/v1/appointments/*","{ clientId: v.optional(v.id(""clients"")) }","observed return expressions: all | all.filter((a) => a.clientId === args.clientId)","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","rescheduleAppointment","mutation","convex/appointments.ts:129","src/pages/admin/AdminAppointmentsPage.tsx:23 (useMutation)","","","requireRole; roles=admin","no explicit tenant scope detected","database patch","migrate","CrmService","/api/v1/appointments/*","{ id: v.id(""appointments""), date: v.string(), timeSlot: v.string(), }","observed return expressions: { success: true }","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"appointments","appointments","updateAppointmentStatus","mutation","convex/appointments.ts:59","src/pages/admin/AdminAppointmentsPage.tsx:21 (useMutation) | src/pages/staff/StaffAppointmentsPage.tsx:17 (useMutation)","auditLog | notifications","","requireRole; roles=admin","no explicit tenant scope detected","audit | communication | database patch | inserts: auditLog|notifications | notification","migrate","CrmService","/api/v1/appointments/*","{ id: v.id(""appointments""), status: v.union(v.literal(""pending""), v.literal(""confirmed""), v.literal(""completed""), v.literal(""cancelled"")), meetingLink: v.optional(v.string()), }","observed return expressions: { success: true }","TBD","TBD","frontend_switched","TBD","TBD","restore Convex authority per rollback-runbook.md"
"administration","auditLog","getDocumentAuditLog","query","convex/auditLog.ts:22","","auditLog","by_resource","requireAuth","no explicit tenant scope detected","audit","migrate","TBD","/api/v1 TBD","{ documentId: v.id(""documents"") }","observed return expressions: Promise.all(docLogs.map(async (log) => { const user = await ctx.db.get(log.userId); return { ...log, userName: user?.name || ""System"", userRole: user?.role || ""System"", } }))","TBD","TBD","inventoried","TBD","TBD","restore Convex authority per rollback-runbook.md"
