Frontend file,Line,Usage,Endpoint,Convex export exists,Mock behavior,Unsafe cast,Decision,Status,Notes
src/App.tsx,80,useQuery,cms.getSettings,yes,heuristic match,no,migrate,inventoried,
src/client/queries/cases.ts,20,direct reference,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/client/queries/cases.ts,35,direct reference,cases.createCase,yes,heuristic match,no,migrate,inventoried,
src/client/queries/documents.ts,25,direct reference,documents.listDocuments,yes,heuristic match,no,migrate,inventoried,
src/client/queries/documents.ts,44,direct reference,documents.searchDocuments,yes,no explicit branch detected,no,migrate,inventoried,
src/client/queries/documents.ts,63,direct reference,documents.getRecentDocuments,yes,no explicit branch detected,no,migrate,inventoried,
src/client/queries/documents.ts,79,direct reference,documents.createDocument,yes,heuristic match,no,migrate,inventoried,
src/client/queries/tasks.ts,20,direct reference,tasks.listTasks,yes,heuristic match,no,migrate,inventoried,
src/client/queries/tasks.ts,35,direct reference,tasks.updateTask,yes,heuristic match,no,migrate,inventoried,
src/components/cases/ConflictCheckerModal.tsx,24,useMutation,cases.markConflictChecked,yes,heuristic match,yes,migrate,inventoried,
src/components/cases/ConflictCheckerModal.tsx,35,useQuery,cases.checkConflict,yes,heuristic match,yes,migrate,inventoried,
src/components/documents/DocumentShareModal.tsx,19,useMutation,documents.createShareLink,yes,heuristic match,no,migrate,inventoried,
src/components/documents/DocumentShareModal.tsx,20,useMutation,documents.revokeShareLink,yes,heuristic match,no,migrate,inventoried,
src/components/documents/DocumentShareModal.tsx,21,useQuery,documents.listShareLinks,yes,heuristic match,no,migrate,inventoried,
src/components/documents/MultiFileUploadModal.tsx,66,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/components/documents/MultiFileUploadModal.tsx,68,useMutation,documents.generateUploadUrl,yes,heuristic match,no,migrate,inventoried,
src/components/documents/MultiFileUploadModal.tsx,69,useMutation,documents.createDocument,yes,heuristic match,no,migrate,inventoried,
src/components/documents/TagManagementModal.tsx,12,useQuery,tags.listTags,yes,no explicit branch detected,no,migrate,inventoried,
src/components/documents/TagManagementModal.tsx,13,useMutation,tags.createTag,yes,no explicit branch detected,no,migrate,inventoried,
src/components/documents/TagManagementModal.tsx,14,useMutation,tags.deleteTag,yes,no explicit branch detected,no,migrate,inventoried,
src/components/documents/TemplateGeneratorModal.tsx,12,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/components/documents/TemplateGeneratorModal.tsx,13,useQuery,templates.listTemplates,yes,heuristic match,no,migrate,inventoried,
src/components/documents/TemplateGeneratorModal.tsx,15,useMutation,documents.createDocument,yes,heuristic match,no,migrate,inventoried,
src/components/documents/TemplateGeneratorModal.tsx,16,useMutation,documents.generateUploadUrl,yes,heuristic match,no,migrate,inventoried,
src/components/documents/TemplateGeneratorModal.tsx,23,useQuery,cases.getCaseWithDetails,yes,no explicit branch detected,no,migrate,inventoried,
src/components/ui/ChatbotWidget.tsx,84,useMutation,chatbots.submitLead,yes,heuristic match,no,migrate,inventoried,
src/components/ui/CommandCenter.tsx,13,useQuery,cases.listCases,yes,heuristic match,no,migrate,inventoried,
src/components/ui/CommandCenter.tsx,20,useQuery,users.listStaffDirectory,yes,heuristic match,no,migrate,inventoried,
src/components/ui/CommandCenter.tsx,52,useQuery,messages.listMessages,yes,heuristic match,no,migrate,inventoried,
src/components/ui/CommandCenter.tsx,57,useMutation,messages.sendMessage,yes,heuristic match,no,migrate,inventoried,
src/components/ui/CommandCenter.tsx,58,useMutation,messages.markMessagesRead,yes,heuristic match,no,migrate,inventoried,
src/components/ui/notification-bell.tsx,23,useQuery,notifications.listNotifications,yes,heuristic match,no,migrate,inventoried,
src/components/ui/notification-bell.tsx,24,useMutation,notifications.markRead,yes,heuristic match,no,migrate,inventoried,
src/components/ui/notification-bell.tsx,25,useMutation,notifications.markAllRead,yes,heuristic match,no,migrate,inventoried,
src/hooks/use-auth.ts,26,useQuery,users.getCurrentUser,yes,heuristic match,no,migrate,inventoried,
src/hooks/use-current-user.ts,13,useQuery,users.getCurrentUser,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAnalyticsPage.tsx,16,useQuery,analytics.getDashboardData,yes,heuristic match,yes,migrate,inventoried,
src/pages/admin/AdminAppointmentsPage.tsx,15,useQuery,appointments.listAppointments,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAppointmentsPage.tsx,16,useQuery,users.listStaffDirectory,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAppointmentsPage.tsx,20,useMutation,appointments.createAppointment,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAppointmentsPage.tsx,21,useMutation,appointments.updateAppointmentStatus,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAppointmentsPage.tsx,22,useMutation,appointments.assignLawyerToAppointment,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAppointmentsPage.tsx,23,useMutation,appointments.rescheduleAppointment,yes,no explicit branch detected,no,migrate,inventoried,
src/pages/admin/AdminAuditPage.tsx,41,useQuery,auditLog.listAuditLog,yes,heuristic match,no,migrate,inventoried,
src/pages/admin/AdminAuditPage.tsx,45,useQuery,users.listUsers,yes,heuristic match,no,migrate,inventoried,
