Table,Index,Unique,Columns/expression,Documented query pattern,Migration
appointments,appointments_firm_assigned_idx,no,"firm_id,assigned_lawyer_id",Documented operational lookup for appointments,drizzle/0000_initial_mysql_schema.sql
appointments,appointments_firm_date_idx,no,"firm_id,appointment_date",Firm-scoped appointments chronological or reminder query,drizzle/0000_initial_mysql_schema.sql
appointments,appointments_firm_id_id_unique,yes,"firm_id, id",Enforce appointments business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
appointments,appointments_firm_lead_idx,no,"firm_id,lead_id",Documented operational lookup for appointments,drizzle/0000_initial_mysql_schema.sql
appointments,appointments_firm_status_idx,no,"firm_id,status",Firm-scoped appointments status queue or filter,drizzle/0000_initial_mysql_schema.sql
appointments,appointments_legacy_convex_id_unique,yes,legacy_convex_id,Enforce appointments business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
attendance,attendance_firm_date_idx,no,"firm_id,attendance_date",Firm-scoped attendance chronological or reminder query,drizzle/0000_initial_mysql_schema.sql
attendance,attendance_firm_id_id_unique,yes,"firm_id, id",Enforce attendance business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
attendance,attendance_firm_user_date_unique,yes,"firm_id,user_id,attendance_date",Enforce attendance business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
attendance,attendance_legacy_convex_id_unique,yes,legacy_convex_id,Enforce attendance business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
audit_log,audit_log_firm_id_id_unique,yes,"firm_id, id",Enforce audit_log business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
audit_log,audit_log_firm_request_id_idx,no,"firm_id,request_id",Documented operational lookup for audit_log,drizzle/0000_initial_mysql_schema.sql
audit_log,audit_log_firm_resource_created_idx,no,"firm_id,resource,created_at",Firm-scoped audit_log chronological or reminder query,drizzle/0000_initial_mysql_schema.sql
audit_log,audit_log_firm_user_created_idx,no,"firm_id,user_id,created_at",Firm-scoped audit_log lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
audit_log,audit_log_legacy_convex_id_unique,yes,legacy_convex_id,Enforce audit_log business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_accounts,auth_accounts_provider_account_unique,yes,"provider_id,account_id",Enforce auth_accounts business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_accounts,auth_accounts_user_idx,no,user_id,Firm-scoped auth_accounts lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
auth_rate_limits,auth_rate_limits_key_unique,yes,key,Enforce auth_rate_limits business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_sessions,auth_sessions_expiry_idx,no,expires_at,Firm-scoped auth_sessions chronological or reminder query,drizzle/0000_initial_mysql_schema.sql
auth_sessions,auth_sessions_token_unique,yes,token,Enforce auth_sessions business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_sessions,auth_sessions_user_idx,no,user_id,Firm-scoped auth_sessions lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
auth_two_factors,auth_two_factors_user_unique,yes,user_id,Enforce auth_two_factors business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_users,auth_users_email_unique,yes,email,Enforce auth_users business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_users,auth_users_lexnepal_user_unique,yes,lexnepal_user_id,Enforce auth_users business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
auth_verifications,auth_verifications_identifier_idx,no,identifier,Documented operational lookup for auth_verifications,drizzle/0000_initial_mysql_schema.sql
avatar_upload_intents,avatar_upload_intents_firm_id_id_unique,yes,"firm_id, id",Enforce avatar_upload_intents business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
avatar_upload_intents,avatar_upload_intents_firm_status_idx,no,"firm_id,status,expires_at",Firm-scoped avatar_upload_intents status queue or filter,drizzle/0000_initial_mysql_schema.sql
avatar_upload_intents,avatar_upload_intents_legacy_convex_id_unique,yes,legacy_convex_id,Enforce avatar_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
avatar_upload_intents,avatar_upload_intents_quarantine_key_unique,yes,quarantine_key,Enforce avatar_upload_intents business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
avatar_upload_intents,avatar_upload_intents_user_idx,no,"firm_id,user_id",Firm-scoped avatar_upload_intents lookup by responsible user,drizzle/0000_initial_mysql_schema.sql
blog_posts,blog_posts_firm_id_id_unique,yes,"firm_id, id",Enforce blog_posts business or tenant uniqueness,drizzle/0001_mysql_integrity.sql
blog_posts,blog_posts_firm_slug_unique,yes,"firm_id,slug",Enforce blog_posts business or tenant uniqueness,drizzle/0000_initial_mysql_schema.sql
blog_posts,blog_posts_firm_status_publish_idx,no,"firm_id,status,publish_date",Firm-scoped blog_posts status queue or filter,drizzle/0000_initial_mysql_schema.sql
