vitePath,nextPath,sampleUrl,kind,redirectFrom,proof
"/auth/callback","/auth/callback","/auth/callback","exact","","same-path"
"/setup-account","/setup-account","/setup-account","exact","","same-path"
"/reset-password","/reset-password","/reset-password","exact","","same-path"
"/sign-in","/sign-in","/sign-in","exact","","same-path"
"/mfa-enroll","/mfa-enroll","/mfa-enroll","exact","","same-path"
"/intake/:token","/intake/[token]","/intake/sample-token","dynamic","","same-path"
"/share/:token","/share/[token]","/share/sample-token","dynamic","","same-path"
"/","/","/","exact","","same-path"
"/practice-areas","/practice-areas","/practice-areas","exact","","same-path"
"/about-us","/about-us","/about-us","exact","","same-path"
"/lawyers","/lawyers","/lawyers","exact","","same-path"
"/lawyers/:id","/lawyers/[id]","/lawyers/sample-lawyer","dynamic","","same-path"
"/consultation","/consultation","/consultation","exact","","same-path"
"/contact","/contact","/contact","exact","","same-path"
"/blog","/blog","/blog","exact","","same-path"
"/blog/:slug","/blog/[slug]","/blog/sample-post","dynamic","","same-path"
"/careers","/careers","/careers","exact","","same-path"
"/resources","/resources","/resources","exact","","same-path"
"/news","/news","/news","exact","","same-path"
"/privacy-policy","/privacy-policy","/privacy-policy","exact","","same-path"
"/terms","/terms","/terms","exact","","same-path"
"/client","/client","/client","exact","","same-path"
"/client/cases","/client/cases","/client/cases","exact","","same-path"
"/client/documents","/client/documents","/client/documents","exact","","same-path"
"/client/messages","/client/messages","/client/messages","exact","","same-path"
"/client/billing","/client/billing","/client/billing","exact","","same-path"
"/client/booking","/client/booking","/client/booking","exact","","same-path"
"/client/kyc","/client/kyc","/client/kyc","exact","","same-path"
"/client/signatures","/client/signatures","/client/signatures","exact","","same-path"
"/client/checklist","/client/checklist","/client/checklist","exact","","same-path"
"/client/profile","/client/profile","/client/profile","exact","","same-path"
"/staff","/staff","/staff","exact","","same-path"
"/staff/cases","/staff/cases","/staff/cases","exact","","same-path"
"/staff/cases/:id","/staff/cases/[id]","/staff/cases/00000000-0000-4000-8000-000000000001","dynamic","","same-path"
"/staff/hearings","/staff/hearings","/staff/hearings","exact","","same-path"
"/staff/documents","/staff/documents","/staff/documents","exact","","same-path"
"/staff/tasks","/staff/tasks","/staff/tasks","exact","","same-path"
"/staff/time","/staff/time","/staff/time","exact","","same-path"
"/staff/clients","/staff/clients","/staff/clients","exact","","same-path"
"/staff/appointments","/staff/appointments","/staff/appointments","exact","","same-path"
"/staff/research","/staff/research","/staff/research","exact","","same-path"
"/staff/profile","/staff/profile","/staff/profile","exact","","same-path"
"/admin","/admin","/admin","exact","","same-path"
"/admin/users","/admin/users","/admin/users","exact","","same-path"
"/admin/analytics","/admin/analytics","/admin/analytics","exact","","same-path"
"/admin/hr","/admin/hr","/admin/hr","exact","","same-path"
"/admin/finance","/admin/finance","/admin/finance","exact","","same-path"
"/admin/expenses","/admin/expenses","/admin/expenses","exact","","same-path"
"/admin/crm","/admin/crm","/admin/crm","exact","","same-path"
"/admin/settings","/admin/settings","/admin/settings","exact","","same-path"
"/admin/audit","/admin/audit","/admin/audit","exact","","same-path"
"/admin/conflict-checker","/admin/conflict-checker","/admin/conflict-checker","exact","","same-path"
"/admin/document-generator","/admin/document-generator","/admin/document-generator","exact","","same-path"
"/admin/appointments","/admin/appointments","/admin/appointments","exact","","same-path"
"/admin/templates","/admin/templates","/admin/templates","exact","","same-path"
"/admin/profile","/admin/profile","/admin/profile","exact","","same-path"
"/admin/cms","/admin/cms","/admin/cms","exact","","same-path"
"/admin/cms/navigation","/admin/cms/navigation","/admin/cms/navigation","exact","","same-path"
"/admin/cms/practice-areas","/admin/cms/practice-areas","/admin/cms/practice-areas","exact","","same-path"
"/admin/cms/testimonials","/admin/cms/testimonials","/admin/cms/testimonials","exact","","same-path"
"/admin/cms/team","/admin/cms/team","/admin/cms/team","exact","","same-path"
"/admin/cms/blog","/admin/cms/blog","/admin/cms/blog","exact","","same-path"
"/admin/cms/news","/admin/cms/news","/admin/cms/news","exact","","same-path"
"/admin/cms/careers","/admin/cms/careers","/admin/cms/careers","exact","","same-path"
"/admin/cms/resources","/admin/cms/resources","/admin/cms/resources","exact","","same-path"
"/admin/cms/about","/admin/cms/about","/admin/cms/about","exact","","same-path"
"/admin/cms/governance","/admin/cms/governance","/admin/cms/governance","exact","","same-path"
"/admin/clients","/admin/clients","/admin/clients","exact","","same-path"
"/admin/cms/homepage","/admin/cms/homepage","/admin/cms/homepage","exact","","same-path"
"/client/billing/return","/client/billing/return","/client/billing/return","exact","","same-path"
"/client/cases/:id","/client/cases/[id]","/client/cases/sample","dynamic","","same-path"
"/client/hearings","/client/hearings","/client/hearings","exact","","same-path"
"/client/notifications","/client/notifications","/client/notifications","exact","","same-path"
"/news/:slug","/news/[slug]","/news/sample","dynamic","","same-path"
"/practice-areas/:slug","/practice-areas/[slug]","/practice-areas/sample","dynamic","","same-path"
"/resources/:slug","/resources/[slug]","/resources/sample","dynamic","","same-path"
"/sign-in/:portal","/sign-in/[portal]","/sign-in/sample","dynamic","","same-path"
"/staff/content","/staff/content","/staff/content","exact","","same-path"
"/staff/crm","/staff/crm","/staff/crm","exact","","same-path"
"/staff/hr","/staff/hr","/staff/hr","exact","","same-path"
"/staff/messages","/staff/messages","/staff/messages","exact","","same-path"
"/staff/team-chat","/staff/team-chat","/staff/team-chat","exact","","same-path"
"*","*","/__url-preserve-unknown__","catch-all","","same-path"
