"vitePath","audience","viteComponent","nextPath","nextFile","status","moveWave","notes"
"/auth/callback","auth","src/legacy-pages/auth/Callback.tsx","/auth/callback","src/app/auth/callback/page.tsx","exists","W1-auth-public","Next page exists; Vite remains product UI on :3002 until cutover"
"/setup-account","auth","src/legacy-pages/auth/AccountSetupPage.tsx","/setup-account","src/app/setup-account/page.tsx","exists","W1-auth-public","Same component as /reset-password"
"/reset-password","auth","src/legacy-pages/auth/AccountSetupPage.tsx","/reset-password","src/app/reset-password/page.tsx","exists","W1-auth-public","Reuses AccountSetupPage"
"/sign-in","auth","src/legacy-pages/auth/SignInPage.tsx","/sign-in","src/app/sign-in/page.tsx","exists","W1-auth-public","Next stub present"
"/mfa-enroll","auth","src/legacy-pages/auth/MfaEnrollmentPage.tsx","/mfa-enroll","src/app/mfa-enroll/page.tsx","exists","W1-auth-public",""
"/intake/:token","token","src/legacy-pages/public/IntakeFormPage.tsx","/intake/[token]","src/app/intake/[token]/page.tsx","exists","W1-auth-public","Public token intake; no layout shell"
"/share/:token","token","src/legacy-pages/public/SharedDocumentPage.tsx","/share/[token]","src/app/share/[token]/page.tsx","exists","W1-auth-public","Public document share; no layout shell"
"/","public","src/legacy-pages/public/HomePage.tsx","/","src/app/(public)/page.tsx","exists","W1-auth-public","Next home exists; still Convex-bridge residuals in places"
"/practice-areas","public","src/legacy-pages/public/PracticeAreasPage.tsx","/practice-areas","src/app/(public)/practice-areas/page.tsx","exists","W1-auth-public",""
"/about-us","public","src/legacy-pages/public/AboutPage.tsx","/about-us","src/app/(public)/about-us/page.tsx","exists","W1-auth-public",""
"/lawyers","public","src/legacy-pages/public/LawyerDirectoryPage.tsx","/lawyers","src/app/(public)/lawyers/page.tsx","exists","W1-auth-public",""
"/lawyers/:id","public","src/legacy-pages/public/PublicLawyerProfilePage.tsx","/lawyers/[id]","src/app/(public)/lawyers/[id]/page.tsx","exists","W1-auth-public",""
"/consultation","public","src/legacy-pages/public/ConsultationPage.tsx","/consultation","src/app/(public)/consultation/page.tsx","exists","W1-auth-public",""
"/contact","public","src/legacy-pages/public/ContactPage.tsx","/contact","src/app/(public)/contact/page.tsx","exists","W1-auth-public",""
"/blog","public","src/legacy-pages/public/BlogPage.tsx","/blog","src/app/(public)/blog/page.tsx","exists","W1-auth-public",""
"/blog/:slug","public","src/legacy-pages/public/BlogPostPage.tsx","/blog/[slug]","src/app/(public)/blog/[slug]/page.tsx","exists","W1-auth-public",""
"/careers","public","src/legacy-pages/public/CareersPage.tsx","/careers","src/app/(public)/careers/page.tsx","exists","W1-auth-public",""
